,City,Cloudiness,Country,Date,Humidity,Latitude,Longitude,Max Temperature,Windspeed
87,yenagoa,94,NG,1604803385,94,4.92,6.26,75.54,3.44
88,butaritari,66,KI,1604803167,69,3.07,172.79,81.28,8.5
89,aykhal,0,RU,1604803385,84,66.0,111.5,-0.4,2.24
90,codrington,0,AU,1604803186,67,-38.27,141.97,63.05,10.65
91,utete,86,TZ,1604803385,96,-7.99,38.76,72.86,1.21
92,north bend,90,US,1604803338,87,43.41,-124.22,50.0,9.17
93,kapaa,90,US,1604802840,83,22.08,-159.32,80.6,17.22
94,kurchum,68,KZ,1604803268,64,48.57,83.65,41.31,4.14
95,merke,82,KZ,1604803386,26,42.87,73.18,62.38,10.22
96,saint george,91,US,1604803103,81,37.1,-113.58,44.01,14.99
97,kijang,0,KR,1604803386,27,35.24,129.21,64.4,9.17
98,bontang,100,ID,1604803386,78,0.13,117.5,80.87,1.36
99,klaksvik,82,FO,1604802791,86,62.23,-6.59,41.0,10.29
100,vao,17,NC,1604803387,72,-22.67,167.48,73.6,14.47
101,kodiak,90,US,1604803035,87,57.79,-152.41,46.4,14.99
102,murray bridge,0,AU,1604803227,36,-35.12,139.27,75.0,7.43
103,la seyne-sur-mer,100,FR,1604803387,86,43.1,5.88,61.0,11.99
104,bengkulu,99,ID,1604803387,63,-3.8,102.27,84.7,3.51
105,mugur-aksy,1,RU,1604803387,89,50.35,90.5,27.16,5.75
106,kokopo,45,PG,1604803387,67,-4.35,152.26,85.08,6.13
107,qaanaaq,1,GL,1604803080,68,77.48,-69.36,-11.45,10.36
108,salalah,0,OM,1604803133,56,17.02,54.09,71.6,5.82
109,tasiilaq,95,GL,1604803161,74,65.61,-37.64,30.2,9.01
110,salinopolis,46,BR,1604803388,81,-0.61,-47.36,80.96,13.56
111,caruray,90,PH,1604803388,78,10.31,119.01,82.4,6.93
112,saint-philippe,20,RE,1604803228,64,-21.36,55.77,71.6,6.93
113,novobirilyussy,51,RU,1604803388,84,56.95,90.67,37.56,11.18
114,aranos,0,NA,1604803388,36,-24.13,19.12,66.51,8.21
115,coruripe,6,BR,1604803388,83,-10.13,-36.18,76.3,10.69
116,camana,24,PE,1604803388,78,-16.62,-72.71,63.43,6.06
117,beringovskiy,99,RU,1604803371,95,63.05,179.32,27.18,13.4
118,prince rupert,1,CA,1604803388,64,54.32,-130.32,41.0,10.29
119,hondo,20,JP,1604803147,42,32.45,130.2,68.0,13.87
120,bucksport,100,US,1604803389,89,44.57,-68.8,51.01,1.99
121,deputatskiy,99,RU,1604803389,93,69.3,139.9,-3.89,3.62
122,chokurdakh,100,RU,1604803007,95,70.63,147.92,2.19,3.33
123,putte,0,BE,1604803389,87,51.05,4.63,48.2,2.24
124,angul,0,IN,1604803389,53,20.85,85.1,71.31,4.88
125,gambela,0,ET,1604803389,82,8.25,34.58,70.54,3.53
126,nogales,1,MX,1604803389,72,31.31,-110.94,60.8,11.41
127,isangel,27,VU,1604803389,75,-19.55,169.27,80.62,8.75
128,manggar,75,ID,1604803389,70,-2.88,108.27,84.49,4.92
129,lorengau,100,PG,1604803301,60,-2.02,147.27,85.17,5.88
130,detva,90,SK,1604803390,73,48.56,19.42,35.01,1.12
131,ostrovnoy,64,RU,1604803390,81,68.05,39.51,36.99,27.27
132,segezha,0,RU,1604803390,84,63.74,34.32,34.92,17.52
133,noumea,90,NC,1604803272,54,-22.28,166.46,80.6,14.99
134,wajima,75,JP,1604803390,72,37.4,136.9,59.0,9.17
135,davydivka,0,UA,1604803390,76,48.12,25.56,43.21,3.02
136,bathsheba,40,BB,1604803349,83,13.22,-59.52,80.6,20.8
137,richards bay,0,ZA,1604802709,88,-28.78,32.04,72.84,4.0
138,solwezi,44,ZM,1604803390,53,-12.17,26.39,61.57,4.52
139,zollikofen,90,CH,1604803390,100,47.0,7.46,45.0,2.24
140,sajanan,20,TN,1604803391,87,37.06,9.24,60.8,2.24
141,hervey bay,40,AU,1604803391,39,-25.3,152.85,80.6,17.22
142,rayevskaya,73,RU,1604803391,81,44.83,37.56,46.4,4.47
143,mongo,1,TD,1604803391,23,12.18,18.69,72.84,5.1
144,sambava,100,MG,1604803391,86,-14.27,50.17,75.96,7.56
145,pimentel,22,PE,1604803391,85,-6.84,-79.93,62.15,12.5
146,alyangula,40,AU,1604803391,63,-13.85,136.42,93.2,9.17
147,xichang,91,CN,1604803391,58,27.9,102.26,60.94,1.05
148,basco,84,PH,1604803392,83,20.45,121.97,80.8,25.93
149,kidal,0,ML,1604803392,26,18.44,1.41,70.65,13.11
150,sitka,1,US,1604802851,86,57.05,-135.33,33.8,6.93
151,carnarvon,41,AU,1604803229,65,-24.87,113.63,77.0,14.99
152,avarua,67,CK,1604803036,78,-21.21,-159.78,77.0,8.34
153,kaeo,13,NZ,1604803392,83,-35.1,173.78,66.99,11.01
154,birzai,100,LT,1604803392,81,56.2,24.75,49.6,11.72
155,kanniyakumari,88,IN,1604803392,70,8.08,77.57,83.55,16.82
156,bellinge,0,DK,1604803392,93,55.34,10.32,39.2,2.15
157,hami,59,CN,1604803146,39,42.8,93.45,49.24,6.51
158,kununurra,75,AU,1604803176,36,-15.77,128.73,93.2,8.05
159,el alto,33,PE,1604803393,87,-4.27,-81.21,62.46,18.32
160,bani,98,DO,1604803393,100,18.28,-70.33,75.99,3.83
161,cape town,75,ZA,1604803005,93,-33.93,18.42,59.0,16.11
162,orange cove,75,US,1604803272,93,36.62,-119.31,48.2,8.05
163,kahului,20,US,1604803222,55,20.89,-156.47,87.8,18.34
164,kilindoni,71,TZ,1604803393,83,-7.91,39.67,79.81,13.89
165,havoysund,100,NO,1604803393,93,71.0,24.66,37.4,46.08
166,borogontsy,96,RU,1604803393,88,62.67,131.17,-7.24,4.72
167,sao bento,1,BR,1604803377,70,-6.28,-37.75,75.83,13.6
168,buraydah,40,SA,1604803394,93,26.33,43.98,64.4,5.82
169,sanandaj,72,IR,1604803394,73,35.31,46.99,48.49,4.09
170,barra da estiva,72,BR,1604803394,99,-13.63,-41.33,63.99,3.31
171,biak,100,ID,1604803394,58,-0.91,122.88,84.83,8.97
172,diebougou,97,BF,1604803394,22,10.97,-3.25,72.12,1.57
173,upernavik,36,GL,1604803032,78,72.79,-56.15,1.18,7.96
174,sinjar,0,IQ,1604803395,61,36.32,41.88,58.42,4.29
175,aklavik,97,CA,1604803395,79,68.22,-135.01,26.6,3.36
176,ribeira grande,19,PT,1604803136,70,38.52,-28.7,61.18,15.41
177,ola,100,RU,1604803395,87,59.58,151.28,13.96,16.55
178,georgetown,20,MY,1604803055,74,5.41,100.34,84.2,4.7
179,araguaina,97,BR,1604803395,86,-7.19,-48.21,76.35,3.65
180,sur,0,OM,1604803395,62,22.57,59.53,77.45,4.05
181,meulaboh,71,ID,1604803215,68,4.14,96.13,84.69,0.96
182,longyearbyen,75,SJ,1604802976,86,78.22,15.64,30.2,5.01
183,homer,90,US,1604803396,100,59.64,-151.55,42.01,9.04
184,vila franca do campo,20,PT,1604803396,71,37.72,-25.43,57.2,4.7
185,alugan,93,PH,1604803396,74,12.22,125.48,83.48,8.23
186,kloulklubed,90,PW,1604803396,79,7.04,134.26,84.2,19.46
187,tahta,0,EG,1604803396,72,26.77,31.5,59.0,4.7
188,ixtapa,5,MX,1604803396,74,20.7,-105.2,80.6,4.7
189,ouricuri,46,BR,1604803396,67,-7.88,-40.08,78.13,10.69
190,kentau,94,KZ,1604803396,44,43.52,68.51,46.17,1.39
191,faanui,97,PF,1604802949,76,-16.48,-151.75,79.34,11.27
192,darab,0,IR,1604803397,47,28.75,54.54,50.83,1.25
193,vakhrushev,100,RU,1604803397,85,48.98,142.97,33.6,13.78
194,vestmanna,82,FO,1604803397,86,62.16,-7.17,41.0,10.29
195,clyde river,1,CA,1604803180,59,70.47,-68.59,-0.4,6.93
196,ilawe,99,NG,1604803397,97,7.87,4.43,70.74,2.73
197,pisco,90,PE,1604803202,88,-13.7,-76.22,62.6,11.41
198,martinsville,1,US,1604803186,100,36.69,-79.87,60.01,0.31
199,pskov,100,RU,1604803398,81,57.81,28.35,50.0,8.95
200,kirakira,51,SB,1604803047,77,-10.45,161.92,83.62,6.91
201,saint-joseph,0,RE,1604803398,64,-21.37,55.62,71.6,4.7
202,pangnirtung,93,CA,1604803398,83,66.15,-65.71,4.32,3.31
203,kavaratti,1,IN,1604803302,72,10.57,72.64,83.17,6.35
204,acapulco,20,MX,1604803172,78,16.86,-99.89,82.4,5.82
205,fort dodge,1,US,1604803283,67,42.5,-94.17,62.6,17.22
206,arraial do cabo,93,BR,1604803021,81,-22.97,-42.03,72.1,8.77
207,ancud,18,CL,1604803399,66,-41.87,-73.82,53.01,13.87
208,griffith,1,US,1604803150,71,41.53,-87.42,60.8,8.05
209,kysyl-syr,88,RU,1604803399,89,63.9,122.76,-5.6,5.12
210,tuatapere,8,NZ,1604803399,56,-46.13,167.68,54.0,13.0
211,san cristobal,93,VE,1604803278,91,7.77,-72.22,66.81,0.49
212,healesville,0,AU,1604803399,40,-37.65,145.52,77.0,1.99
213,santiago,0,CL,1604803191,51,-33.46,-70.65,66.99,10.29
214,voh,23,NC,1604803399,60,-20.97,164.7,80.53,13.09
215,siavonga,0,ZM,1604803399,33,-16.54,28.71,80.98,4.03
216,abu dhabi,0,AE,1604803400,65,24.47,54.37,78.8,6.93
217,santa maria,0,BR,1604803400,77,-29.68,-53.81,68.0,16.11
218,fortuna,20,US,1604803384,93,40.6,-124.16,51.01,10.29
